Förderkennzeichen (0010),Schlagwort1,Schlagwort2,Schlagwort3,Schlagwort4,Schlagwort5,Schlagwort6,Schlagwort
03ET1447B,automatisierte Erstellung Gebäudesimulationsmodell,optimierte Regelparameter,,,,,
03ET1470A,Licht,PV,Beschichtungsverfahren,,,,
03ET1470B,Licht,PV,Beschichtungsverfahren,,,,
03ET1470C,Licht,PV,Beschichtungsverfahren,,,,
03ET1470D,Licht,PV,Beschichtungsverfahren,,,,
03ET1470G,Licht,PV,Beschichtungsverfahren,,,,
03ET1470H,Licht,PV,Beschichtungsverfahren,,,,
03ET1494A,Absorptionskälteanlagen,,,,,,
03ET1494B,Absorptionskälteanlagen,,,,,,
0325870A,Solarthermie,Funktionskontrolle,Betriebssicherheit,Simulation,TRNSAS,,
0325870B,Solarthermie,Funktionskontrolle,Betriebssicherheit,Simulation,TRNSAS,,
03EGB0003A,,,,,,,
03EGB0005A,,,,,,,
03EGB0005B,,,,,,,
03EGB0005C,,,,,,,
03EGB0006A,,,,,,,
03EGB0006C,,,,,,,
03EIV135A,Lastmanagement,Simulationsmdoelle,,,,,
03EIV135B,Lastmanagement,Simulationsmdoelle,,,,,
03EIV135C,Lastmanagement,Simulationsmdoelle,,,,,
03EIV135D,Lastmanagement,Simulationsmdoelle,,,,,
03ET1156A,,,,,,,
03ET1156B,,,,,,,
03ET1299A,Betriebsoptimierung,Verbrauchs-Visualisierung,Energiemanagement,,,,
03ET1299B,Betriebsoptimierung,Verbrauchs-Visualisierung,Energiemanagement,,,,
03ET1299C,Betriebsoptimierung,Verbrauchs-Visualisierung,Energiemanagement,,,,
03ET1374A,Kälteanlagen,,,,,,
03ET1374B,Kälteanlagen,,,,,,
03ET1374C,Kälteanlagen,,,,,,
03ET1389A,internationale Begleitforschung,,,,,,
03ET1412A,,,,,,,
03ET1425A,intelligente Regelstrategie,Wärmenetze,Sektorkopplung,Speicher,,,
03ET1425B,intelligente Regelstrategie,Wärmenetze,Sektorkopplung,Speicher,,,
03ET1425C,intelligente Regelstrategie,Wärmenetze,Sektorkopplung,Speicher,,,
03ET1451A,Arbeitsmittel,Adsorption,Absorption,Kältemascheinen,Wärmepumpen,,
03ET1451B,Arbeitsmittel,Adsorption,Absorption,Kältemascheinen,Wärmepumpen,,
03ET1451C,Arbeitsmittel,Adsorption,Absorption,Kältemascheinen,Wärmepumpen,,
03ET1459A,3D urbane Energgiesystem Plattform,,,,,,
03ET1459B,3D urbane Energgiesystem Plattform,,,,,,
03ET1459C,3D urbane Energgiesystem Plattform,,,,,,
03ET1459E,3D urbane Energgiesystem Plattform,,,,,,
03ET1459F,3D urbane Energgiesystem Plattform,,,,,,
03ET1461A,Kälteanlagen,Energiemanagment,Pilotanlagen,,,,
03ET1464A,,,,,,,
03ET1464B,,,,,,,
03ET1464C,,,,,,,
03ET1475A,Netzdigitalisierung,Zukunftsmodell,,,,,
03ET1512A,Material,Wärmübertrager,,,,,
03ET1512B,Material,Wärmübertrager,,,,,
03ET1512C,Material,Wärmübertrager,,,,,
03ET1512D,Material,Wärmübertrager,,,,,
03ET1561A,Kommuniationsstandards,5G,Datensuffizienz,,,,
03ET1561B,Kommuniationsstandards,5G,Datensuffizienz,,,,
03ET1592A,Wärmenetz,BIM,Simulation,GIS,,,
03ET1592B,Wärmenetz,BIM,Simulation,GIS,,,
03ET1592C,Wärmenetz,BIM,Simulation,GIS,,,
03ET1619A,innovative MSR- und Automation,,,,,,
03ET1619B,innovative MSR- und Automation,,,,,,
03ET1619C,innovative MSR- und Automation,,,,,,
0325868A,Wärmeversorgung,autark,PV,Wärmepumpe,,,
0325868B,Wärmeversorgung,autark,PV,Wärmepumpe,,,
03EGB0001E,,,,,,,
03ET1431A,adaptives Heizungssystem,Betriebsoptimierung,,,,,
03ET1463A,PCM,,,,,,
03ET1463B,PCM,,,,,,
03ET1463C,PCM,,,,,,
03ET1522A,Gasnetz,Einbindung regenrativer Energien,Gas-Druckregelanlagen,,,,
03ET1522C,Gasnetz,Einbindung regenrativer Energien,Gas-Druckregelanlagen,,,,
03ET1636A,Fassadenbegrünung,Klimatisierung,,,,,
03ET1636B,Fassadenbegrünung,Klimatisierung,,,,,
03EGB0011A,,,,,,,
03EGB0011B,,,,,,,
03ET1444A,dezentrale und zentrale Betriebsstrategien,Planungshilfen,Wärmepumpen,Energiemanagement,,,
03ET1444B,dezentrale und zentrale Betriebsstrategien,Planungshilfen,Wärmepumpen,Energiemanagement,,,
03ET1444C,dezentrale und zentrale Betriebsstrategien,Planungshilfen,Wärmepumpen,Energiemanagement,,,
03ET1444D,dezentrale und zentrale Betriebsstrategien,Planungshilfen,Wärmepumpen,Energiemanagement,,,
03ET1449A,Fehlererkennung,neuronales Netz,Kälteanlagen,,,,
03ET1457B,Wärmenetze,Betriebssicherheit,,,,,
0325859,Solarthermie,Prozesswärme,Wärmerückgewinnung,,,,
03EGB0013A,,,,,,,
03EGB0013B,,,,,,,
03ET1315C,Primärenergie,Daten NWG,,,,,
03ET1417A,Quartiere,Sanierung,Gebäudesimulation,Denkmalschutz,Energiemanagement,,
03ET1417B,Quartiere,Sanierung,Gebäudesimulation,Denkmalschutz,Energiemanagement,,
03ET1417C,Quartiere,Sanierung,Gebäudesimulation,Denkmalschutz,Energiemanagement,,
03ET1417D,Quartiere,Sanierung,Gebäudesimulation,Denkmalschutz,Energiemanagement,,
03ET1465A,intelligente Regelstrategie,Monitoring,Wärmenetz,Quartiere,,,
03ET1465B,intelligente Regelstrategie,Monitoring,Wärmenetz,Quartiere,,,
03ET1465C,intelligente Regelstrategie,Monitoring,Wärmenetz,Quartiere,,,
03ET1526A,Dämmung,Schallschutz,Baustoffe,,,,
03ET1530D,Fassadensystem,Klimatisierung,Wärmepumpe,Kälteanlage,PV,solarthermie,PVT
03ET1549A,Kälteversorgung,Kältenetz,,,,,
03ET1549B,Kälteversorgung,Kältenetz,,,,,
03ET1549C,Kälteversorgung,Kältenetz,,,,,
03ET1549D,Kälteversorgung,Kältenetz,,,,,
03ET1568,Energieeffizienz,Regelungsstrategien,,,,,
03ET1593A,thermische Speicher,saisonale Speicher,Energiemanagement,Geothermie,,,
03ET1593B,thermische Speicher,saisonale Speicher,Energiemanagement,Geothermie,,,
03ET1593C,thermische Speicher,saisonale Speicher,Energiemanagement,Geothermie,,,
03ET1593D,thermische Speicher,saisonale Speicher,Energiemanagement,Geothermie,,,
03ET1593E,thermische Speicher,saisonale Speicher,Energiemanagement,Geothermie,,,
03ET1593F,thermische Speicher,saisonale Speicher,Energiemanagement,Geothermie,,,
03ET1598,intelligentes Wärmenetz,Sektorkopplung,,,,,
03ETS001A,Effizienz- und Funktionsüberwachung,Prädiktive Regelung,,,,,
03ETS001B,Effizienz- und Funktionsüberwachung,Prädiktive Regelung,,,,,
03ETS001D,Effizienz- und Funktionsüberwachung,Prädiktive Regelung,,,,,
03ET1362A,Speicher,Experimentell,,,,,
03ET1362B,Speicher,Experimentell,,,,,
03ET1362D,Speicher,Experimentell,,,,,
03ET1362E,Speicher,Experimentell,,,,,
03ET1401A,Sanierung,Wohngebäude,Wärmeversorgung,Fassade,Lüftung,Dämmung,
03ET1401B,Sanierung,Wohngebäude,Wärmeversorgung,Fassade,Lüftung,Dämmung,
03ET1401C,Sanierung,Wohngebäude,Wärmeversorgung,Fassade,Lüftung,Dämmung,
03ET1401D,Sanierung,Wohngebäude,Wärmeversorgung,Fassade,Lüftung,Dämmung,
03ET1454A,Lüftung,Energieeinsparung,Simulation,CFD,,,
03ET1562A,automatisierte Modellerstellung,BIM,dynamische Simulation,Gebäude,Quartiere,LCA,
03ET1562B,automatisierte Modellerstellung,BIM,dynamische Simulation,Gebäude,Quartiere,LCA,
03ET1573A,Mess- und Analysesystem,Datensuffizienz,Wärmeversorgung,,,,
03ET1573B,Mess- und Analysesystem,Datensuffizienz,Wärmeversorgung,,,,
03ET1573C,Mess- und Analysesystem,Datensuffizienz,Wärmeversorgung,,,,
03ET1573D,Mess- und Analysesystem,Datensuffizienz,Wärmeversorgung,,,,
03ETS005A,Wärmepakete,Intelligenter Betrieb Nahwärmenetz,Solarthermie,,,,
03ETS005B,Wärmepakete,Intelligenter Betrieb Nahwärmenetz,Solarthermie,,,,
03ETW003,Daten,Solathermie,Prozesswärme,,,,
03ET1580A,intelligente Wärmenetze,,,,,,
03ET1315A,Primärenergie,Daten NWG,,,,,
03ET1315B,Primärenergie,Daten NWG,,,,,
03ET1323A,Geschäftsmodell,,,,,,
03ET1413A,Multi-Energie Management und Aggregations-Plattform,Quartiere,BIM,Plattform,,,
03ET1413B,Multi-Energie Management und Aggregations-Plattform,Quartiere,BIM,Plattform,,,
03ET1413C,Multi-Energie Management und Aggregations-Plattform,Quartiere,BIM,Plattform,,,
03ET1413D,Multi-Energie Management und Aggregations-Plattform,Quartiere,BIM,Plattform,,,
03ET1413E,Multi-Energie Management und Aggregations-Plattform,Quartiere,BIM,Plattform,,,
03ET1413F,Multi-Energie Management und Aggregations-Plattform,Quartiere,BIM,Plattform,,,
03ET1560C,software-unabhängige Projektdatenumgebung,Datenmodell,,,,,
03ET1580B,intelligente Wärmenetze,,,,,,
03ET1580C,intelligente Wärmenetze,,,,,,
03ET1616A,Betriebsführung,Nutzerassitenzsysteme,,,,,
03ET1616B,Betriebsführung,Nutzerassitenzsysteme,,,,,
03ETS004,Energiemanagement,Sektorkopplung,soziologische Untersuchung,Monitoring,Mehrfamilienhaus,,
03SBE0001A,Wärmepumpen,Mehrfamilienhaus,,,,,
03SBE0001B,Wärmepumpen,Mehrfamilienhaus,,,,,
03SBE0001C,Wärmepumpen,Mehrfamilienhaus,,,,,
03EGB0012A,,,,,,,
03EGB0012B,,,,,,,
03EGB0012C,,,,,,,
03EGB0012D,,,,,,,
03ET1370A,Adsorption,Kühlung,Monitoring,,,,
03ET1371A,Fehlererkennung,Klimatisierung,,,,,
03ET1371D,Fehlererkennung,Klimatisierung,,,,,
03ET1371E,Fehlererkennung,Klimatisierung,,,,,
03ET1415A,Nutzereinbindung,Energiemanagment,Monitoring,,,,
03ET1415B,Nutzereinbindung,Energiemanagment,Monitoring,,,,
03ET1502A,Energiemanagement,,,,,,
03ET1502B,Energiemanagement,,,,,,
03ET1567A,selbstoptimierende Reglerarchitektur,Energiemanagement,,,,,
03ET1567B,selbstoptimierende Reglerarchitektur,Energiemanagement,,,,,
03ET1567C,selbstoptimierende Reglerarchitektur,Energiemanagement,,,,,
03ET1567D,selbstoptimierende Reglerarchitektur,Energiemanagement,,,,,
03ET1567E,selbstoptimierende Reglerarchitektur,Energiemanagement,,,,,
03ET1567F,selbstoptimierende Reglerarchitektur,Energiemanagement,,,,,
03SBE0002A,Analyse Gebäudedaten,Data Mining,Nutzerverhalten,,,,
03SBE0002B,Analyse Gebäudedaten,Data Mining,Nutzerverhalten,,,,
03SBE0002C,Analyse Gebäudedaten,Data Mining,Nutzerverhalten,,,,
03SBE0002D,Analyse Gebäudedaten,Data Mining,Nutzerverhalten,,,,
03SBE0005B,Energiemanagement,Smart District Konzept,,,,,
03SBE0008A,Dämmung,PV,,,,,
03SBE0008C,Dämmung,PV,,,,,
03SBE0008D,Dämmung,PV,,,,,
03SBE0008E,Dämmung,PV,,,,,
03SBE0008F,Dämmung,PV,,,,,
03SBE0008G,Dämmung,PV,,,,,
03EGB0007A,,,,,,,
03EGB0007B,,,,,,,
03EGB0007C,,,,,,,
03EGB0007D,,,,,,,
03EGB0015A,,,,,,,
03EGB0015B,,,,,,,
03ET1569,BIM,Datenanalyse- und Simulationsverfahren,Nutzerverhalten,LCA,digitaler Zwilling,,
03ET1570A,Planungstool,,,,,,
03ET1570B,Planungstool,,,,,,
03ET1570C,Planungstool,,,,,,
03ET1570D,Planungstool,,,,,,
03ET1570E,Planungstool,,,,,,
03ET1570G,Planungstool,,,,,,
03ET1595A,Reglerplattform,API,Sektorkopplung,,,,
03ET1595B,Reglerplattform,API,Sektorkopplung,,,,
03ET1595C,Reglerplattform,API,Sektorkopplung,,,,
03EN1004A,Simulation,Energiekonzept,Planungshilfen,,,,
03EN1004B,Simulation,Energiekonzept,Planungshilfen,,,,
03ET1537A,Material,,Wärmespeicher,,,,
03ET1537B,Material,,Wärmespeicher,,,,
03ET1537C,Material,,Wärmespeicher,,,,
03ET1537D,Material,,Wärmespeicher,,,,
03ET1537E,Material,,Wärmespeicher,,,,
03SBE0001D,Wärmepumpen,Mehrfamilienhaus,,,,,
03ET1498A,Wärmenetze,Kältenetze,Monitoring,Kalibrierung,,,
03ET1498B,Wärmenetze,Kältenetze,Monitoring,Kalibrierung,,,
03ET1498C,Wärmenetze,Kältenetze,Monitoring,Kalibrierung,,,
03ET1498D,Wärmenetze,Kältenetze,Monitoring,Kalibrierung,,,
03ET1498E,Wärmenetze,Kältenetze,Monitoring,Kalibrierung,,,
03ET1513A,Nutzerverhalten,Energieeffizienz,,,,,
03ET1513B,Nutzerverhalten,Energieeffizienz,,,,,
03ET1513D,Nutzerverhalten,Energieeffizienz,,,,,
03ET1513E,Nutzerverhalten,Energieeffizienz,,,,,
03ET1513F,Nutzerverhalten,Energieeffizienz,,,,,
03ET1565A,Dämmung,Material,Bauteil,Simulation,Experiment,,
03ET1565B,Dämmung,Material,Bauteil,Simulation,Experiment,,
03ET1565C,Dämmung,Material,Bauteil,Simulation,Experiment,,
03ET1565D,Dämmung,Material,Bauteil,Simulation,Experiment,,
03ET1565E,Dämmung,Material,Bauteil,Simulation,Experiment,,
03ET1565F,Dämmung,Material,Bauteil,Simulation,Experiment,,
03ET1565G,Dämmung,Material,Bauteil,Simulation,Experiment,,
03ET1565H,Dämmung,Material,Bauteil,Simulation,Experiment,,
03ET1565I,Dämmung,Material,Bauteil,Simulation,Experiment,,
03ET1566A,Beleuchtung,Energieeffizienz,Simulation,,,,
03ET1566B,Beleuchtung,Energieeffizienz,Simulation,,,,
03ET1584A,PCM,Stoffeigenschaften,Alterung,,,,
03ET1584B,PCM,Stoffeigenschaften,Alterung,,,,
03ET1591A,flexibilisierter Anlagenbetrieb,,,,,,
03ET1591B,flexibilisierter Anlagenbetrieb,,,,,,
03ET1600A,optimierte Steuerung,,,,,,
03ET1600B,optimierte Steuerung,,,,,,
03ET1604,Reinräume,,,,,,
03ET1605,Wärmepumpen,Wärmeübertrager,Energiemanagement,,,,
03ET1610,Doppelfassade,Dämmung,Planungshilfen,,,,
03ET1613A,optimierte Regelung,gebäudeübergreifende Cloud,standardisierte Kommunikations-Schnittstellen,,,,
03ET1613B,optimierte Regelung,gebäudeübergreifende Cloud,standardisierte Kommunikations-Schnittstellen,,,,
03ET1613C,optimierte Regelung,gebäudeübergreifende Cloud,standardisierte Kommunikations-Schnittstellen,,,,
03ET1613D,optimierte Regelung,gebäudeübergreifende Cloud,standardisierte Kommunikations-Schnittstellen,,,,
03ET1485A,Gebäudetechnik,Gebäudesteuerung,,,,,
03ET1602A,Monitoring,Sanierung,,,,,
03ET1602B,Monitoring,Sanierung,,,,,
03ET1615,Material,thermische Speicher,,,,,
03ET1625A,Wärmenetze,Alterung,Datenanalyse,,,,
03ET1625B,Wärmenetze,Alterung,Datenanalyse,,,,
03ET1625C,Wärmenetze,Alterung,Datenanalyse,,,,
03ETW005A,Solarthermie,Stagnation,Simulation,Kostenschätzung,,,
03ETW005C,Solarthermie,Stagnation,Simulation,Kostenschätzung,,,
03SBE0003A,BIM,Fassaden,PV,,,,
03SBE0003B,BIM,Fassaden,PV,,,,
03SBE0003C,BIM,Fassaden,PV,,,,
03SBE0003E,BIM,Fassaden,PV,,,,
03EGB0014A,,,,,,,
03EGB0014B,,,,,,,
03EN1006A,Dämmung,Material,,,,,
03EN1006B,Dämmung,Material,,,,,
03EN1006C,Dämmung,Material,,,,,
03EN1006D,Dämmung,Material,,,,,
03EN1006E,Dämmung,Material,,,,,
03ET1457A,Wärmenetze,Betriebssicherheit,,,,,
03ET1457C,Wärmenetze,Betriebssicherheit,,,,,
03ET1457D,Wärmenetze,Betriebssicherheit,,,,,
03ET1457E,Wärmenetze,Betriebssicherheit,,,,,
03ET1457F,Wärmenetze,Betriebssicherheit,,,,,
03ET1457G,Wärmenetze,Betriebssicherheit,,,,,
03ET1560A,software-unabhängige Projektdatenumgebung,Datenmodell,,,,,
03ET1560B,software-unabhängige Projektdatenumgebung,Datenmodell,,,,,
03ET1611A,BIM,Planungstool,,,,,
03ET1611B,BIM,Planungstool,,,,,
03ET1611C,BIM,Planungstool,,,,,
03ET1612A,thermische Speicher,Sektorkopplung,,,,,
03ET1612B,thermische Speicher,Sektorkopplung,,,,,
03ET1612C,thermische Speicher,Sektorkopplung,,,,,
03ET1612D,thermische Speicher,Sektorkopplung,,,,,
03ET1612E,thermische Speicher,Sektorkopplung,,,,,
03ET1612F,thermische Speicher,Sektorkopplung,,,,,
03ET1618A,Planungstool,Quartier,,,,,
03ET1618B,Planungstool,Quartier,,,,,
03ET1618C,Planungstool,Quartier,,,,,
03ET1618D,Planungstool,Quartier,,,,,
03ET1618E,Planungstool,Quartier,,,,,
03ET1618F,Planungstool,Quartier,,,,,
03ET1618G,Planungstool,Quartier,,,,,
03ET1624A,Data Mining,Schadenserkennung,Wärmenetze,,,,
03ET1624B,Data Mining,Schadenserkennung,Wärmenetze,,,,
03ET1624C,Data Mining,Schadenserkennung,Wärmenetze,,,,
03ET1624D,Data Mining,Schadenserkennung,Wärmenetze,,,,
03ETW004A,Planungstool,Geothermie,Wärme,Kälte,,,
03ETW004B,Planungstool,Geothermie,Wärme,Kälte,,,
03ETW004C,Planungstool,Geothermie,Wärme,Kälte,,,
0325869A,Quartiere,Wärmenetze,,,,,
0325869B,Quartiere,Wärmenetze,,,,,
03EGB0018A,,,,,,,
03EGB0018B,,,,,,,
03EGB0018C,,,,,,,
03EGB0018D,,,,,,,
03EGB0018E,,,,,,,
03EGB0018F,,,,,,,
03EGB0018G,,,,,,,
03ET1328A,Datenbank,Datenaufbereitung,,,,,
03ET1458A,intelligentes Wärmenetz,Sektorkopplung,Monitoring,,,,
03ET1458B,intelligentes Wärmenetz,Sektorkopplung,Monitoring,,,,
03ET1458C,intelligentes Wärmenetz,Sektorkopplung,Monitoring,,,,
03ET1522B,Gasnetz,Einbindung regenrativer Energien,Gas-Druckregelanlagen,,,,
03ET1530A,Fassadensystem,Klimatisierung,Wärmepumpe,Kälteanlage,PV,solarthermie,PVT
03ET1530B,Fassadensystem,Klimatisierung,Wärmepumpe,Kälteanlage,PV,solarthermie,PVT
03ET1530C,Fassadensystem,Klimatisierung,Wärmepumpe,Kälteanlage,PV,solarthermie,PVT
03ET1538A,intelligentes Wärmenetz,Datenaufnahme/Datenerfassung,Datensuffizienz,Monitoring,Schnittstellen,,
03ET1538B,intelligentes Wärmenetz,Datenaufnahme/Datenerfassung,Datensuffizienz,Monitoring,Schnittstellen,,
03ET1545A,vorausschauende Steuerung,Geschäftsmodelle,Energiemanagement,,,,
03ET1545B,vorausschauende Steuerung,Geschäftsmodelle,Energiemanagement,,,,
03ET1545C,vorausschauende Steuerung,Geschäftsmodelle,Energiemanagement,,,,
03ET1545D,vorausschauende Steuerung,Geschäftsmodelle,Energiemanagement,,,,
03ET1551A,digitalisierte Sektorkopplung,IKT Plattform,Nutzerdaten,Simulation,Energiemanagement,,
03ET1563A,Sanierung,,,,,,
03ET1563B,Sanierung,,,,,,
03ET1563C,Sanierung,,,,,,
03ET1563D,Sanierung,,,,,,
03ET1585A,Energiemanagement,RFID Chips,Wetterprognose,Nutzerdaten,Umweltwirkung,,
03ET1585B,Energiemanagement,RFID Chips,Wetterprognose,Nutzerdaten,Umweltwirkung,,
03ET1585C,Energiemanagement,RFID Chips,Wetterprognose,Nutzerdaten,Umweltwirkung,,
03ET1603A,BIM,Schnittstellen,Planungstool,,,,
03ET1603B,BIM,Schnittstellen,Planungstool,,,,
03ET1603C,BIM,Schnittstellen,Planungstool,,,,
03ET1603D,BIM,Schnittstellen,Planungstool,,,,
03ET1603E,BIM,Schnittstellen,Planungstool,,,,
03ET1623A,Material,Dämmung,Gesundheit,,,,
03ET1623B,Material,Dämmung,Gesundheit,,,,
03ET1623C,Material,Dämmung,Gesundheit,,,,
03ET1635A,3D Stadtmodell,CrowsSourcing Tool,Geschäftsmodelle,Umweltwirkungen,Speicher,Smartgrid,Wärmenetz
03ET1635B,3D Stadtmodell,CrowsSourcing Tool,Geschäftsmodelle,Umweltwirkungen,Speicher,Smartgrid,Wärmenetz
03ET1635C,3D Stadtmodell,CrowsSourcing Tool,Geschäftsmodelle,Umweltwirkungen,Speicher,Smartgrid,Wärmenetz
03ET1647A,Heizkreis,Wärmeträgermedium,Fehlererkennung,Algorithmen,,,
03ET1647B,Heizkreis,Wärmeträgermedium,Fehlererkennung,Algorithmen,,,
03ET1647C,Heizkreis,Wärmeträgermedium,Fehlererkennung,Algorithmen,,,
03ET1647D,Heizkreis,Wärmeträgermedium,Fehlererkennung,Algorithmen,,,
03ET1657A,IoT,Gebäudeautomation,Cloud,Schnittstellen,,,
03ET1657B,IoT,Gebäudeautomation,Cloud,Schnittstellen,,,
03ET1657C,IoT,Gebäudeautomation,Cloud,Schnittstellen,,,
03ETW008,Funktionssoftware in SPS-Technik,Reglerentwicklung,Solarthermie,Schnittstellen,,,
03ETW009A,Modellierung,Energiemanagment,Optimierung,,,,
03ETW009B,Modellierung,Energiemanagment,Optimierung,,,,
03ETW011A,PVT,Wärmeübergang,,,,,
03ETW011B,PVT,Wärmeübergang,,,,,
03ETW011C,PVT,Wärmeübergang,,,,,
03ETW012A,Softwaregestützte Betriebsanalyse und -optimierung,Kälteanlagen,Modelle,Schnittstellen,,,
03ETW012B,Softwaregestützte Betriebsanalyse und -optimierung,Kälteanlagen,Modelle,Schnittstellen,,,
03ETW012C,Softwaregestützte Betriebsanalyse und -optimierung,Kälteanlagen,Modelle,Schnittstellen,,,
03ETW012D,Softwaregestützte Betriebsanalyse und -optimierung,Kälteanlagen,Modelle,Schnittstellen,,,
03SBE0007A,"multifunktionale Planungs-, Optimierungs- und Steuerungstool",Planung,Nutzerdaten,Dämmung,Simulation,Anlagensteuerung,LCA
03SBE0007B,"multifunktionale Planungs-, Optimierungs- und Steuerungstool",Planung,Nutzerdaten,Dämmung,Simulation,Anlagensteuerung,LCA
03SBE0007C,"multifunktionale Planungs-, Optimierungs- und Steuerungstool",Planung,Nutzerdaten,Dämmung,Simulation,Anlagensteuerung,LCA
03SBE0007E,"multifunktionale Planungs-, Optimierungs- und Steuerungstool",Planung,Nutzerdaten,Dämmung,Simulation,Anlagensteuerung,LCA
03EGB0001A,,,,,,,
03EGB0001B,,,,,,,
03EGB0001C,,,,,,,
